radix	1	
io	i	
vname	CLK	OPCODE<4>	OPCODE<[3:0]>	X<4>	X<[3:0]>	Y<4>	Y<[3:0]>	Z<[15:12]>	Z<[11:8]>	Z<[7:4]>	Z<[3:0]>	
slope	0.01
vih	1.8
tunit	ns

0	0	0	0	0	0	0	0	0	0	0	0	
1	1	0	0	0	0	0	0	0	0	0	0	
2	0	0	3	0	1	0	1	0	0	0	0	
3	1	0	3	0	1	0	1	0	0	0	0	
4	0	0	3	0	2	0	2	0	0	0	0	
5	1	0	3	0	2	0	2	0	0	0	0	
6	0	0	1	0	1	1	1	0	0	0	0	
7	1	0	1	0	1	1	1	0	0	0	0	
8	0	0	1	0	2	1	0	0	0	0	0	
9	1	0	1	0	2	1	0	0	0	0	0	
10	0	0	1	0	2	1	1	0	0	0	0	
11	1	0	1	0	2	1	1	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	
13	1	0	0	0	0	0	0	0	0	0	0	
14	0	0	0	0	0	0	0	0	0	0	0	
15	1	0	0	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	0	
17	1	0	0	0	0	0	0	0	0	0	0	
18	0	0	9	0	3	0	1	0	0	0	2	
19	1	0	9	0	3	0	1	0	0	0	2	
20	0	0	2	0	0	0	3	0	0	0	0	
21	1	0	2	0	0	0	3	0	0	0	0	
22	0	0	0	0	0	0	0	0	0	0	0	
23	1	0	0	0	0	0	0	0	0	0	0	
24	0	0	0	0	0	0	0	0	0	0	0	
25	1	0	0	0	0	0	0	0	0	0	0	
26	0	0	0	0	0	0	0	0	0	0	0	
27	1	0	0	0	0	0	0	0	0	0	0	
28	0	0	c	0	1	0	2	0	0	1	f	
29	1	0	c	0	1	0	2	0	0	1	f	
30	0	0	0	0	0	0	0	0	0	0	0	
31	1	0	0	0	0	0	0	0	0	0	0	
